C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0005601237,0001241580                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0005601355,0001241599                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0005601378,0001241602                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0005601390,0001241616                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0005601458,0001241657                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0005601608,0001241684                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0005601799,0001241715                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0005601882,0001241732                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0005601915,0001241786                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0005602053,0001241903                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2017,16:00:00,REGULAR,0005602262,0001241947                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/22/2017,20:00:00,REGULAR,0005602825,0001242000                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,00:00:00,REGULAR,0005602965,0001242015                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,04:00:00,REGULAR,0005602971,0001242016                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,08:00:00,REGULAR,0005602997,0001242080                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,12:00:00,REGULAR,0005603109,0001242234                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,16:00:00,REGULAR,0005603212,0001242294                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/23/2017,20:00:00,REGULAR,0005603645,0001242335                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,00:00:00,REGULAR,0005603777,0001242357                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,04:00:00,REGULAR,0005603777,0001242359                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,08:00:00,REGULAR,0005603780,0001242415                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,12:00:00,REGULAR,0005603793,0001242555                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,16:00:00,REGULAR,0005603837,0001242611                                            
