C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0005588072,0001237867                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0005588336,0001237891                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0005588457,0001237907                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0005588473,0001237907                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0005588480,0001237924                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0005588538,0001237981                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0005588680,0001238020                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0005588846,0001238059                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0005588927,0001238071                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0005588931,0001238072                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0005588951,0001238116                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0005589069,0001238240                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0005589223,0001238286                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0005589835,0001238337                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0005590002,0001238351                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0005590010,0001238352                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0005590041,0001238400                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0005590183,0001238517                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,16:00:00,REGULAR,0005590428,0001238556                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/09/2017,20:00:00,REGULAR,0005591009,0001238615                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,00:00:00,REGULAR,0005591142,0001238643                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,04:00:00,REGULAR,0005591147,0001238645                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,08:00:00,REGULAR,0005591172,0001238700                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,12:00:00,REGULAR,0005591298,0001238819                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,16:00:00,REGULAR,0005591543,0001238867                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/10/2017,20:00:00,REGULAR,0005592064,0001239031                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,00:00:00,REGULAR,0005592255,0001239043                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,04:00:00,REGULAR,0005592270,0001239044                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,08:00:00,REGULAR,0005592310,0001239092                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,12:00:00,REGULAR,0005592426,0001239231                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,16:00:00,REGULAR,0005592654,0001239286                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/11/2017,20:00:00,REGULAR,0005593271,0001239348                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,00:00:00,REGULAR,0005593449,0001239369                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,04:00:00,REGULAR,0005593464,0001239371                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,08:00:00,REGULAR,0005593486,0001239415                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,12:00:00,REGULAR,0005593632,0001239536                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,16:00:00,REGULAR,0005593889,0001239594                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/12/2017,20:00:00,REGULAR,0005594156,0001239641                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,00:00:00,REGULAR,0000908118,0003370218                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,04:00:00,REGULAR,0000908129,0003370238                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,08:00:00,REGULAR,0000908138,0003370306                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,12:00:00,REGULAR,0000908174,0003370636                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0000908257,0003370980                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0000908358,0003371305                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0000908436,0003371481                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0000908443,0003371504                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0000908446,0003371537                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0000908484,0003371777                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0000908557,0003372102                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0000908651,0003372367                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0000908722,0003372474                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0000908727,0003372482                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0000908744,0003372768                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0000908792,0003373632                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0000908919,0003374019                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0000909188,0003374645                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0000909276,0003374794                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0000909280,0003374796                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0000909291,0003375122                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0000909361,0003375783                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,16:00:00,REGULAR,0000909493,0003376131                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/09/2017,20:00:00,REGULAR,0000909785,0003376747                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,00:00:00,REGULAR,0000909877,0003376918                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,04:00:00,REGULAR,0000909883,0003376928                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,08:00:00,REGULAR,0000909906,0003377219                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,12:00:00,REGULAR,0000909963,0003378056                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,16:00:00,REGULAR,0000910065,0003378448                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/10/2017,20:00:00,REGULAR,0000910325,0003379184                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,00:00:00,REGULAR,0000910416,0003379306                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,04:00:00,REGULAR,0000910422,0003379309                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,08:00:00,REGULAR,0000910432,0003379640                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,12:00:00,REGULAR,0000910482,0003380399                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,16:00:00,REGULAR,0000910566,0003380829                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/11/2017,20:00:00,REGULAR,0000910838,0003381400                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,00:00:00,REGULAR,0000910942,0003381588                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,04:00:00,REGULAR,0000910951,0003381602                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,08:00:00,REGULAR,0000910972,0003381862                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,12:00:00,REGULAR,0000911043,0003382658                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,16:00:00,REGULAR,0000911143,0003383077                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/12/2017,20:00:00,REGULAR,0000911407,0003383743                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,00:00:00,REGULAR,0000272722,0000446874                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,04:00:00,REGULAR,0000272759,0000446906                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,08:00:00,REGULAR,0000272773,0000446988                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,12:00:00,REGULAR,0000272895,0000447302                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0000273144,0000447706                                            
