,kepid,digits,KeplerName,Disposition
118,4936180,K00820.01,,FALSE POSITIVE
119,11913073,K00011.01,,FALSE POSITIVE
120,10875245,K00117.01,Kepler-107 e,CANDIDATE
121,5021899,K00821.01,Kepler-692 b,CANDIDATE
122,5077629,K00822.01,,FALSE POSITIVE
123,5115978,K00823.01,,CANDIDATE
124,5164255,K00824.01,Kepler-693 b,CANDIDATE
125,5252423,K00825.01,Kepler-237 c,CANDIDATE
126,5252423,K00825.02,Kepler-237 b,CANDIDATE
127,5272878,K00826.01,Kepler-694 b,CANDIDATE
128,5283542,K00827.01,,FALSE POSITIVE
129,5649215,K00839.01,,FALSE POSITIVE
130,5651104,K00840.01,Kepler-695 b,CANDIDATE
131,5792202,K00841.01,Kepler-27 b,CANDIDATE
132,10875245,K00117.04,Kepler-107 d,CANDIDATE
133,5792202,K00841.02,Kepler-27 c,CANDIDATE
134,5370302,K00831.01,,FALSE POSITIVE
135,5372966,K00832.01,,FALSE POSITIVE
136,5376067,K00833.01,,FALSE POSITIVE
137,5436502,K00834.01,Kepler-238 e,CANDIDATE
138,5436502,K00834.02,Kepler-238 d,CANDIDATE
139,5436502,K00834.03,Kepler-238 c,CANDIDATE
140,5436502,K00834.04,Kepler-238 b,CANDIDATE
141,10875245,K00117.03,Kepler-107 b,CANDIDATE
142,5436502,K00834.05,Kepler-238 f,CANDIDATE
143,5456651,K00835.01,Kepler-239 b,CANDIDATE
144,5456651,K00835.02,Kepler-239 c,CANDIDATE
145,5481416,K00836.01,,FALSE POSITIVE
146,5531576,K00837.01,Kepler-240 c,CANDIDATE
147,5531576,K00837.02,Kepler-240 b,CANDIDATE
148,5534814,K00838.01,,FALSE POSITIVE
149,6291653,K00850.01,Kepler-702 b,CANDIDATE
150,6392727,K00851.01,Kepler-703 b,CANDIDATE
151,6422070,K00852.01,Kepler-704 b,CANDIDATE
152,6428700,K00853.01,Kepler-242 b,CANDIDATE
153,6428700,K00853.02,Kepler-242 c,CANDIDATE
154,5792202,K00841.03,,CANDIDATE
155,5794379,K00842.01,Kepler-241 b,CANDIDATE
156,5794379,K00842.02,Kepler-241 c,CANDIDATE
157,5881688,K00843.01,Kepler-696 b,CANDIDATE
158,6022556,K00844.01,Kepler-697 b,CANDIDATE
159,6032497,K00845.01,Kepler-698 b,CANDIDATE
160,6061119,K00846.01,Kepler-699 b,CANDIDATE
161,6191521,K00847.01,Kepler-700 b,CANDIDATE
162,6267425,K00848.01,,FALSE POSITIVE
163,3531558,K00118.01,Kepler-467 b,CANDIDATE
164,6276477,K00849.01,Kepler-701 b,CANDIDATE
165,6863998,K00867.01,Kepler-709 b,CANDIDATE
166,6867155,K00868.01,,CANDIDATE
167,6948054,K00869.01,Kepler-245 b,CANDIDATE
168,6948054,K00869.02,Kepler-245 d,CANDIDATE
169,6948054,K00869.03,Kepler-245 c,CANDIDATE
170,6435936,K00854.01,Kepler-705 b,CANDIDATE
171,6522242,K00855.01,Kepler-706 b,CANDIDATE
172,6526710,K00856.01,,CANDIDATE
173,6587280,K00857.01,Kepler-243 b,CANDIDATE
174,9471974,K00119.01,Kepler-108 b,CANDIDATE
175,6587280,K00857.02,Kepler-243 c,CANDIDATE
176,6599919,K00858.01,,FALSE POSITIVE
177,6675056,K00859.01,,FALSE POSITIVE
178,6685526,K00861.01,Kepler-707 b,CANDIDATE
179,6756669,K00862.01,,FALSE POSITIVE
180,6784235,K00863.01,Kepler-708 b,CANDIDATE
181,6849310,K00864.01,Kepler-244 b,CANDIDATE
182,6849310,K00864.02,Kepler-244 d,CANDIDATE
183,6849310,K00864.03,Kepler-244 c,CANDIDATE
184,6862328,K00865.01,,CANDIDATE
185,9471974,K00119.02,Kepler-108 c,CANDIDATE
186,6862603,K00866.01,,FALSE POSITIVE
187,7366258,K00880.01,Kepler-82 b,CANDIDATE
188,7366258,K00880.02,Kepler-82 c,CANDIDATE
189,7366258,K00880.03,Kepler-82 e,CANDIDATE
190,7366258,K00880.04,Kepler-82 d,CANDIDATE
191,7373451,K00881.01,Kepler-712 b,CANDIDATE
192,6948054,K00869.04,Kepler-245 e,CANDIDATE
193,6949607,K00870.01,Kepler-28 b,CANDIDATE
194,6949607,K00870.02,Kepler-28 c,CANDIDATE
195,7031517,K00871.01,,FALSE POSITIVE
196,11869052,K00120.01,,CANDIDATE
197,7109675,K00872.01,Kepler-46 b,CANDIDATE
198,7109675,K00872.02,Kepler-46 d,CANDIDATE
199,7118364,K00873.01,Kepler-710 b,CANDIDATE
200,7134976,K00874.01,Kepler-246 b,CANDIDATE
201,7134976,K00874.02,Kepler-246 c,CANDIDATE
202,7135852,K00875.01,,CANDIDATE
203,7270230,K00876.01,,FALSE POSITIVE
204,7287995,K00877.01,Kepler-81 b,CANDIDATE
205,7287995,K00877.02,Kepler-81 c,CANDIDATE
206,7287995,K00877.03,Kepler-81 d,CANDIDATE
207,3247396,K00121.01,,FALSE POSITIVE
208,7303253,K00878.01,Kepler-711 b,CANDIDATE
209,5094751,K00123.01,Kepler-109 b,CANDIDATE
210,7678434,K00892.01,Kepler-716 b,CANDIDATE
211,7678434,K00892.02,,CANDIDATE
212,7685981,K00893.01,Kepler-717 b,CANDIDATE
213,7708215,K00894.01,,FALSE POSITIVE
214,7373451,K00881.02,Kepler-712 c,CANDIDATE
215,7377033,K00882.01,,FALSE POSITIVE
216,7380537,K00883.01,,CANDIDATE
217,7434875,K00884.01,Kepler-247 c,CANDIDATE
218,8349582,K00122.01,Kepler-95 b,CANDIDATE
219,7434875,K00884.02,Kepler-247 d,FALSE POSITIVE
220,7434875,K00884.03,Kepler-247 b,CANDIDATE
221,7455287,K00886.01,Kepler-54 b,CANDIDATE
222,7455287,K00886.02,Kepler-54 c,CANDIDATE
223,7455287,K00886.03,Kepler-54 d,CANDIDATE
224,7458762,K00887.01,Kepler-713 b,CANDIDATE
225,7552344,K00888.01,,FALSE POSITIVE
226,757450,K00889.01,Kepler-75 b,CANDIDATE
227,7585481,K00890.01,Kepler-714 b,CANDIDATE
228,7663691,K00891.01,Kepler-715 b,CANDIDATE
229,5812701,K00012.01,Kepler-448 b,CANDIDATE
230,8013419,K00901.01,,CANDIDATE
231,8018547,K00902.01,,CANDIDATE
232,8039892,K00903.01,Kepler-719 b,CANDIDATE
233,8150320,K00904.01,Kepler-55 d,CANDIDATE
234,8150320,K00904.02,Kepler-55 b,CANDIDATE
235,11086270,K00124.01,Kepler-110 b,FALSE POSITIVE
236,7767559,K00895.01,,FALSE POSITIVE
237,7825899,K00896.01,Kepler-248 c,CANDIDATE
238,7825899,K00896.02,Kepler-248 b,CANDIDATE
239,7849854,K00897.01,Kepler-718 b,CANDIDATE
240,7870390,K00898.01,Kepler-83 b,CANDIDATE
241,7870390,K00898.02,Kepler-83 d,CANDIDATE
242,5094751,K00123.02,Kepler-109 c,CANDIDATE
243,7870390,K00898.03,Kepler-83 c,CANDIDATE
244,7907423,K00899.01,Kepler-249 c,CANDIDATE
245,7907423,K00899.02,Kepler-249 b,CANDIDATE
246,7907423,K00899.03,Kepler-249 d,CANDIDATE
247,7938496,K00900.01,,CANDIDATE
248,8490993,K00911.01,Kepler-722 b,CANDIDATE
249,8490993,K00911.02,Kepler-722 c,CANDIDATE
250,8505670,K00912.01,Kepler-252 c,CANDIDATE
251,8505670,K00912.02,Kepler-252 b,CANDIDATE
252,8544996,K00913.01,Kepler-723 b,CANDIDATE
253,8552202,K00914.01,,CANDIDATE
254,8150320,K00904.03,Kepler-55 c,CANDIDATE
255,8150320,K00904.04,Kepler-55 e,CANDIDATE
256,8150320,K00904.05,Kepler-55 f,CANDIDATE
257,8180063,K00905.01,,FALSE POSITIVE
