,kepid,digits,KeplerName,Disposition
2341,11401755,K00277.01,Kepler-36 c,CANDIDATE
2342,4180401,K02709.01,,FALSE POSITIVE
2343,6350476,K02710.01,,FALSE POSITIVE
2344,8292840,K00260.03,Kepler-126 c,CANDIDATE
2345,5272233,K02711.01,Kepler-400 b,CANDIDATE
2346,5272233,K02711.02,Kepler-400 c,CANDIDATE
2347,11456382,K02771.01,,FALSE POSITIVE
2348,3130548,K02773.01,,FALSE POSITIVE
2349,9593757,K02774.01,,FALSE POSITIVE
2350,6346809,K02775.01,,CANDIDATE
2351,4275117,K02776.01,,FALSE POSITIVE
2352,6545051,K02777.01,,FALSE POSITIVE
2353,5513866,K02854.01,,FALSE POSITIVE
2354,4547603,K02855.01,,CANDIDATE
2355,5688910,K02856.01,Kepler-1369 b,CANDIDATE
2356,6345732,K02857.01,Kepler-1370 b,CANDIDATE
2357,5716763,K00272.01,,FALSE POSITIVE
2358,6345732,K02857.02,Kepler-1370 c,CANDIDATE
2359,8611257,K02931.01,Kepler-1389 b,CANDIDATE
2360,3861611,K02932.01,,FALSE POSITIVE
2361,12416987,K02933.01,,FALSE POSITIVE
2362,8259713,K02935.01,,CANDIDATE
2363,10880507,K02936.01,Kepler-1390 b,CANDIDATE
2364,11098013,K02712.01,,CANDIDATE
2365,5443604,K02713.01,,FALSE POSITIVE
2366,12206313,K02714.01,Kepler-401 b,CANDIDATE
2367,12206313,K02714.02,Kepler-401 c,CANDIDATE
2368,9837661,K02715.01,Kepler-1321 b,CANDIDATE
2369,7769819,K02778.01,Kepler-1342 b,CANDIDATE
2370,11874577,K02779.01,,CANDIDATE
2371,12164564,K02780.01,Kepler-1343 b,CANDIDATE
2372,8190354,K02781.01,,FALSE POSITIVE
2373,3425851,K00268.01,,CANDIDATE
2374,10397751,K02859.01,Kepler-1371 b,CANDIDATE
2375,10397751,K02859.02,Kepler-1371 c,CANDIDATE
2376,10397751,K02859.03,,CANDIDATE
2377,7815931,K02861.01,,FALSE POSITIVE
2378,6679295,K02862.01,,CANDIDATE
2379,9642292,K02946.01,Kepler-1392 b,CANDIDATE
2380,6356692,K02948.01,,CANDIDATE
2381,6026737,K02949.01,,CANDIDATE
2382,4991208,K02951.01,Kepler-1393 b,CANDIDATE
2383,8243283,K02952.01,,FALSE POSITIVE
2384,9837661,K02715.02,Kepler-1321 c,CANDIDATE
2385,9837661,K02715.03,,CANDIDATE
2386,9092504,K02716.01,Kepler-1322 b,CANDIDATE
2387,5383248,K00261.01,Kepler-96 b,CANDIDATE
2388,10001368,K02785.01,Kepler-1344 b,CANDIDATE
2389,9466429,K02786.01,Kepler-1345 b,CANDIDATE
2390,4365442,K02787.01,,FALSE POSITIVE
2391,8885643,K02789.01,Kepler-1346 b,CANDIDATE
2392,5652893,K02790.01,Kepler-1347 b,CANDIDATE
2393,3241557,K02863.01,,FALSE POSITIVE
2394,3957082,K02864.01,,FALSE POSITIVE
2395,8681833,K02865.01,Kepler-1372 b,CANDIDATE
2396,4138951,K02866.01,Kepler-1373 b,CANDIDATE
2397,3102384,K00273.01,Kepler-454 b,CANDIDATE
2398,10471515,K02961.01,Kepler-1395 b,CANDIDATE
2399,4935172,K02962.01,,CANDIDATE
2400,8760040,K02963.01,Kepler-1396 b,CANDIDATE
2401,8760040,K02963.02,,CANDIDATE
2402,10098844,K02964.01,Kepler-1397 b,CANDIDATE
2403,9467404,K02717.01,Kepler-1323 b,CANDIDATE
2404,5308666,K02718.01,,FALSE POSITIVE
2405,5184911,K02719.01,Kepler-1324 b,CANDIDATE
2406,8176564,K02720.01,,CANDIDATE
2407,6587105,K02721.01,Kepler-1325 b,CANDIDATE
2408,11662184,K02791.01,Kepler-1348 b,CANDIDATE
2409,11127479,K02792.01,Kepler-1349 b,CANDIDATE
2410,5428668,K02794.01,,FALSE POSITIVE
2411,5041569,K02795.01,,FALSE POSITIVE
2412,10604521,K02797.01,,CANDIDATE
2413,9899181,K02867.01,,FALSE POSITIVE
2414,9899181,K02867.02,,FALSE POSITIVE
2415,8884274,K02868.01,Kepler-1374 b,CANDIDATE
2416,7767162,K02869.01,Kepler-1375 b,CANDIDATE
2417,4861791,K02870.01,,FALSE POSITIVE
2418,4385148,K02942.01,,CANDIDATE
2419,4385148,K02942.02,,CANDIDATE
2420,9838468,K02943.01,Kepler-1391 b,CANDIDATE
2421,6781548,K02944.01,,FALSE POSITIVE
2422,8617363,K02945.01,,CANDIDATE
2423,11401755,K00277.02,Kepler-36 b,FALSE POSITIVE
2424,7673192,K02722.01,Kepler-402 c,CANDIDATE
2425,7673192,K02722.02,Kepler-402 e,CANDIDATE
2426,7673192,K02722.03,Kepler-402 b,CANDIDATE
2427,7673192,K02722.04,Kepler-402 d,CANDIDATE
2428,11807274,K00262.01,Kepler-50 b,CANDIDATE
2429,7670943,K00269.01,,CANDIDATE
2430,6697756,K02798.01,Kepler-1351 b,CANDIDATE
2431,5649833,K02799.01,,FALSE POSITIVE
2432,10518399,K02800.01,,FALSE POSITIVE
2433,5905822,K02801.01,,CANDIDATE
2434,10793172,K02871.01,,CANDIDATE
2435,10793172,K02871.02,,CANDIDATE
2436,7136729,K02872.01,,FALSE POSITIVE
2437,6364276,K02873.01,,FALSE POSITIVE
2438,4367854,K02876.01,,FALSE POSITIVE
2439,5108946,K02955.01,,FALSE POSITIVE
2440,10597693,K02958.01,,CANDIDATE
2441,7466270,K02959.01,,CANDIDATE
2442,10876237,K02960.01,,FALSE POSITIVE
2443,12314973,K00279.01,Kepler-450 b,CANDIDATE
2444,3346154,K02723.01,,CANDIDATE
2445,5308387,K02724.01,,FALSE POSITIVE
2446,6233573,K02725.01,,FALSE POSITIVE
2447,10363281,K02726.01,,FALSE POSITIVE
2448,4861527,K02727.01,,FALSE POSITIVE
2449,9898447,K02803.01,,CANDIDATE
2450,5307568,K02804.01,,FALSE POSITIVE
2451,11135308,K02805.01,Kepler-1352 b,CANDIDATE
2452,6521045,K00041.03,Kepler-100 d,CANDIDATE
2453,8077137,K00274.01,Kepler-128 b,CANDIDATE
2454,7019524,K02877.01,Kepler-1376 b,CANDIDATE
2455,5106313,K02878.01,,CANDIDATE
2456,9825174,K02880.01,Kepler-1377 b,CANDIDATE
2457,5642620,K02882.01,,FALSE POSITIVE
2458,5014903,K02966.01,,FALSE POSITIVE
2459,5980783,K02967.01,,CANDIDATE
2460,8873090,K02968.01,,CANDIDATE
2461,12008872,K02729.01,Kepler-1327 b,CANDIDATE
2462,8415200,K02730.01,Kepler-1328 b,CANDIDATE
2463,4072333,K02731.01,,FALSE POSITIVE
2464,9886361,K02732.01,Kepler-403 b,CANDIDATE
2465,9886361,K02732.03,Kepler-403 c,CANDIDATE
2466,3730335,K02808.01,,FALSE POSITIVE
2467,6528464,K00270.01,Kepler-449 b,CANDIDATE
2468,7428316,K02809.01,,FALSE POSITIVE
2469,10275766,K02810.01,,FALSE POSITIVE
2470,10275766,K02810.02,,FALSE POSITIVE
2471,6370120,K02811.01,,CANDIDATE
2472,5642620,K02882.02,,FALSE POSITIVE
2473,5209845,K02883.01,Kepler-1378 b,CANDIDATE
2474,9652649,K02884.01,,FALSE POSITIVE
2475,11100670,K02885.01,,FALSE POSITIVE
2476,6129524,K02886.01,Kepler-1379 b,CANDIDATE
2477,5794570,K02675.01,Kepler-1312 b,CANDIDATE
2478,5794570,K02675.02,,CANDIDATE
2479,5649325,K02676.01,,FALSE POSITIVE
2480,9958387,K02677.01,,CANDIDATE
2481,6779260,K02678.01,Kepler-1313 b,CANDIDATE
2482,11807274,K00262.02,Kepler-50 c,CANDIDATE
2483,5953297,K02733.01,,CANDIDATE
2484,7659389,K02734.01,,CANDIDATE
2485,9472074,K02735.01,,CANDIDATE
2486,10842192,K02736.01,Kepler-1329 b,CANDIDATE
2487,2442448,K02812.01,Kepler-1354 b,CANDIDATE
2488,11197853,K02813.01,,CANDIDATE
2489,9665922,K02815.01,,FALSE POSITIVE
2490,11283615,K02816.01,Kepler-1355 b,CANDIDATE
2491,7605093,K02817.01,Kepler-1356 b,CANDIDATE
2492,8077137,K00274.02,Kepler-128 c,CANDIDATE
2493,12023078,K02888.01,,FALSE POSITIVE
2494,6364162,K02889.01,,FALSE POSITIVE
2495,6716021,K02679.01,,CANDIDATE
2496,11231334,K00258.01,,FALSE POSITIVE
2497,8326342,K02680.01,,FALSE POSITIVE
2498,6878240,K02681.01,Kepler-397 c,CANDIDATE
2499,6878240,K02681.02,Kepler-397 b,CANDIDATE
2500,2436378,K02682.01,,FALSE POSITIVE
2501,6614629,K02737.01,,FALSE POSITIVE
2502,6630943,K02738.01,,FALSE POSITIVE
2503,4831728,K02739.01,Kepler-1330 b,CANDIDATE
2504,3336765,K02740.01,,FALSE POSITIVE
2505,4270565,K02819.01,,FALSE POSITIVE
2506,6528464,K00270.02,Kepler-449 c,CANDIDATE
2507,11963206,K02820.01,Kepler-1357 b,CANDIDATE
2508,4249611,K02821.01,,CANDIDATE
2509,8263545,K02822.01,,CANDIDATE
2510,10068024,K02891.01,,FALSE POSITIVE
2511,9636563,K02892.01,,FALSE POSITIVE
2512,6937402,K02894.01,Kepler-1380 b,CANDIDATE
2513,5475641,K02895.01,,FALSE POSITIVE
2514,2853828,K02896.01,,FALSE POSITIVE
2515,7899070,K02683.01,,CANDIDATE
2516,4035667,K02684.01,,FALSE POSITIVE
2517,9612825,K02685.01,,FALSE POSITIVE
2518,7826659,K02686.01,,CANDIDATE
2519,7202957,K02687.01,,CANDIDATE
2520,5513893,K02741.01,,FALSE POSITIVE
2521,10514430,K00263.01,,FALSE POSITIVE
2522,8095441,K02743.01,Kepler-1332 b,CANDIDATE
2523,5881813,K02744.01,Kepler-1333 b,CANDIDATE
2524,12456601,K02745.01,Kepler-1334 b,CANDIDATE
2525,10341917,K02823.01,,FALSE POSITIVE
2526,3241604,K02824.01,,FALSE POSITIVE
2527,9591070,K02825.01,,FALSE POSITIVE
2528,8227661,K02826.01,,FALSE POSITIVE
2529,7428736,K02827.01,Kepler-1358 b,CANDIDATE
2530,5817986,K02897.01,,FALSE POSITIVE
2531,11129258,K02898.01,Kepler-1381 b,CANDIDATE
2532,10586004,K00275.01,Kepler-129 b,CANDIDATE
2533,4939533,K02899.01,,CANDIDATE
2534,4846856,K02900.01,,CANDIDATE
2535,6521045,K00041.01,Kepler-100 c,CANDIDATE
2536,5790807,K00259.01,,FALSE POSITIVE
2537,8892303,K02688.01,Kepler-1314 b,CANDIDATE
2538,10265602,K02689.01,,CANDIDATE
2539,5369827,K02690.01,,CANDIDATE
2540,5302643,K02746.01,,FALSE POSITIVE
2541,6586746,K02747.01,Kepler-1335 b,CANDIDATE
2542,9962455,K02748.01,Kepler-1336 b,CANDIDATE
2543,9962455,K02748.02,Kepler-1336 c,CANDIDATE
2544,8687088,K02749.01,,FALSE POSITIVE
2545,6436029,K02828.01,Kepler-1359 b,CANDIDATE
2546,6197215,K02829.01,,CANDIDATE
2547,9451706,K00271.01,Kepler-127 d,CANDIDATE
2548,9244508,K02830.01,Kepler-1360 b,CANDIDATE
2549,9692557,K02831.01,,FALSE POSITIVE
2550,9366886,K02901.01,,FALSE POSITIVE
2551,3657176,K02903.01,,FALSE POSITIVE
2552,3969687,K02904.01,Kepler-1382 b,CANDIDATE
2553,9369366,K02905.01,,FALSE POSITIVE
2554,4552729,K02691.01,,CANDIDATE
2555,2989706,K02692.01,,FALSE POSITIVE
2556,5185897,K02693.01,Kepler-398 b,CANDIDATE
2557,5185897,K02693.02,Kepler-398 c,CANDIDATE
2558,5185897,K02693.03,Kepler-398 d,CANDIDATE
2559,3663173,K02750.01,,CANDIDATE
2560,9881077,K02751.01,Kepler-1337 b,CANDIDATE
2561,3097346,K00264.01,,FALSE POSITIVE
2562,5717567,K02752.01,,FALSE POSITIVE
2563,6265792,K02753.01,Kepler-1338 b,CANDIDATE
2564,9995402,K02832.01,Kepler-1361 b,CANDIDATE
2565,9109857,K02833.01,,CANDIDATE
2566,5609593,K02834.01,Kepler-1362 b,CANDIDATE
2567,5436338,K02835.01,,CANDIDATE
2568,11414465,K02836.01,Kepler-1363 b,CANDIDATE
2569,6716545,K02906.02,,CANDIDATE
2570,2708885,K02907.01,,FALSE POSITIVE
2571,6612284,K02908.01,,FALSE POSITIVE
2572,10586004,K00275.02,Kepler-129 c,CANDIDATE
2573,4483138,K02910.01,Kepler-1384 b,CANDIDATE
2574,9475552,K02694.01,Kepler-1315 b,CANDIDATE
2575,9475552,K02694.02,,CANDIDATE
2576,8292840,K00260.01,Kepler-126 b,CANDIDATE
2577,5196864,K02695.01,,CANDIDATE
2578,11071200,K02696.01,,CANDIDATE
2579,11071200,K02696.02,,CANDIDATE
2580,10905911,K02754.01,Kepler-1339 b,CANDIDATE
2581,3545135,K02755.01,,CANDIDATE
2582,6964929,K02756.01,Kepler-1340 b,CANDIDATE
2583,6432345,K02757.01,,CANDIDATE
2584,8703129,K02758.01,,CANDIDATE
2585,11565924,K02837.01,Kepler-1364 b,CANDIDATE
2586,6607357,K02838.01,Kepler-1365 b,CANDIDATE
2587,6607357,K02838.02,Kepler-1365 c,CANDIDATE
2588,9451706,K00271.02,Kepler-127 c,CANDIDATE
2589,6186964,K02839.01,Kepler-1366 b,CANDIDATE
2590,5471202,K02911.01,,FALSE POSITIVE
2591,9640439,K02912.01,,FALSE POSITIVE
2592,9693006,K02913.01,Kepler-1385 b,CANDIDATE
2593,5613821,K02915.01,,CANDIDATE
2594,6627507,K02697.01,,FALSE POSITIVE
2595,5128673,K02698.01,Kepler-1316 b,CANDIDATE
2596,6690836,K02699.01,Kepler-1317 b,CANDIDATE
2597,8639908,K02700.01,,CANDIDATE
2598,5481148,K02701.01,,FALSE POSITIVE
2599,11076400,K02759.01,,CANDIDATE
2600,7877978,K02760.01,,CANDIDATE
2601,7903086,K02761.01,,FALSE POSITIVE
2602,12024120,K00265.01,Kepler-507 b,CANDIDATE
2603,8210018,K02762.01,Kepler-1341 b,CANDIDATE
2604,3642289,K00301.01,Kepler-135 b,CANDIDATE
2605,3642289,K00301.02,Kepler-135 c,CANDIDATE
2606,3662838,K00302.01,Kepler-516 b,CANDIDATE
2607,5966322,K00303.01,Kepler-517 b,CANDIDATE
2608,6029239,K00304.01,Kepler-518 b,CANDIDATE
2609,12106929,K00359.01,,FALSE POSITIVE
2610,12107021,K00360.01,,FALSE POSITIVE
2611,12404954,K00361.01,Kepler-537 b,CANDIDATE
2612,1571511,K00362.01,,FALSE POSITIVE
2613,2438070,K00363.01,,FALSE POSITIVE
2614,3747262,K03005.01,,FALSE POSITIVE
2615,10190075,K03007.01,,CANDIDATE
2616,9070666,K03008.01,Kepler-1408 b,CANDIDATE
2617,3642335,K03010.01,Kepler-1410 b,CANDIDATE
2618,3328052,K03011.01,,FALSE POSITIVE
2619,10749059,K03086.01,,CANDIDATE
2620,9119568,K03087.01,,FALSE POSITIVE
2621,9119568,K03087.02,,FALSE POSITIVE
2622,3127817,K06308.01,,FALSE POSITIVE
2623,9020114,K03088.01,,CANDIDATE
2624,6196457,K00285.01,Kepler-92 b,CANDIDATE
2625,7668416,K03089.01,,CANDIDATE
2626,6029239,K00304.02,,CANDIDATE
2627,6063220,K00305.01,Kepler-99 b,CANDIDATE
2628,6071903,K00306.01,Kepler-519 b,CANDIDATE
2629,6289257,K00307.01,Kepler-520 b,CANDIDATE
2630,10905239,K00046.01,Kepler-101 b,CANDIDATE
2631,11623629,K00365.01,Kepler-538 b,CANDIDATE
2632,3545478,K00366.01,,CANDIDATE
2633,4815520,K00367.01,,CANDIDATE
2634,6603043,K00368.01,,FALSE POSITIVE
2635,7175184,K00369.01,Kepler-144 b,CANDIDATE
2636,7109851,K03012.01,,FALSE POSITIVE
2637,11565544,K03013.01,,CANDIDATE
2638,11403530,K03015.01,Kepler-1412 b,CANDIDATE
2639,5088536,K00282.02,Kepler-130 b,CANDIDATE
2640,12072872,K03017.01,,CANDIDATE
2641,6609270,K03090.01,,CANDIDATE
2642,12406807,K03091.01,,CANDIDATE
2643,8046689,K03092.01,,FALSE POSITIVE
2644,5096590,K03093.01,Kepler-1424 b,CANDIDATE
2645,9650989,K03095.01,,CANDIDATE
2646,6289257,K00307.02,Kepler-520 c,CANDIDATE
2647,6291837,K00308.01,,CANDIDATE
2648,7024222,K00309.01,,FALSE POSITIVE
2649,7024511,K00311.01,,FALSE POSITIVE
2650,7050989,K00312.01,Kepler-136 b,CANDIDATE
2651,7175184,K00369.02,Kepler-144 c,CANDIDATE
2652,8494142,K00370.01,Kepler-145 c,CANDIDATE
2653,11554435,K00063.01,Kepler-63 b,CANDIDATE
2654,8494142,K00370.02,Kepler-145 b,CANDIDATE
2655,5652983,K00371.01,,FALSE POSITIVE
2656,6471021,K00372.01,Kepler-539 b,FALSE POSITIVE
2657,7906671,K03018.01,,FALSE POSITIVE
2658,8709688,K03019.01,,CANDIDATE
2659,8241079,K03020.01,,CANDIDATE
2660,3348285,K03021.01,,FALSE POSITIVE
2661,11618601,K03022.01,,CANDIDATE
2662,7582689,K03097.01,Kepler-431 d,CANDIDATE
2663,7582689,K03097.02,Kepler-431 b,CANDIDATE
2664,7582689,K03097.03,Kepler-431 c,CANDIDATE
2665,9959589,K03098.01,,FALSE POSITIVE
2666,9025922,K00043.01,,FALSE POSITIVE
2667,6196457,K00285.02,Kepler-92 c,CANDIDATE
2668,7050989,K00312.02,Kepler-136 c,CANDIDATE
2669,7419318,K00313.01,Kepler-137 c,CANDIDATE
2670,7419318,K00313.02,Kepler-137 b,CANDIDATE
2671,7603200,K00314.01,Kepler-138 c,CANDIDATE
2672,7603200,K00314.02,Kepler-138 d,CANDIDATE
2673,10905239,K00046.02,Kepler-101 c,CANDIDATE
2674,7364176,K00373.01,,CANDIDATE
2675,8686097,K00374.01,Kepler-540 b,CANDIDATE
2676,12356617,K00375.01,,CANDIDATE
2677,12643589,K00376.01,,FALSE POSITIVE
2678,12643589,K00376.02,,FALSE POSITIVE
2679,3323887,K00377.01,Kepler-9 b,FALSE POSITIVE
2680,11618601,K03022.02,,CANDIDATE
2681,9716391,K03025.01,Kepler-1413 b,CANDIDATE
2682,6929841,K03026.01,Kepler-1414 b,CANDIDATE
2683,5088536,K00282.03,Kepler-130 d,CANDIDATE
2684,5124254,K03099.01,,FALSE POSITIVE
2685,11508644,K03101.01,Kepler-1426 b,CANDIDATE
2686,12168993,K03105.01,,CANDIDATE
2687,10031500,K03107.01,,FALSE POSITIVE
2688,7603200,K00314.03,Kepler-138 b,CANDIDATE
2689,7700622,K00315.01,,CANDIDATE
2690,8008067,K00316.01,Kepler-139 b,CANDIDATE
2691,8008067,K00316.02,Kepler-139 c,CANDIDATE
2692,8008067,K00316.03,,CANDIDATE
2693,3323887,K00377.02,Kepler-9 c,CANDIDATE
2694,7051180,K00064.01,,CANDIDATE
2695,3323887,K00377.03,Kepler-9 d,CANDIDATE
2696,2449074,K00378.01,,FALSE POSITIVE
2697,2446113,K00379.01,,FALSE POSITIVE
2698,2446113,K00379.02,,CANDIDATE
2699,11137180,K03027.01,,CANDIDATE
2700,9838804,K03028.01,,FALSE POSITIVE
2701,5903749,K03029.01,,CANDIDATE
2702,5903749,K03029.02,,CANDIDATE
2703,5524881,K03030.01,,FALSE POSITIVE
2704,3756264,K03108.01,,CANDIDATE
2705,11572193,K03109.01,Kepler-1428 b,CANDIDATE
2706,11285870,K03110.01,Kepler-1429 b,CANDIDATE
2707,8581240,K03111.02,,CANDIDATE
2708,8121310,K00317.01,Kepler-521 b,CANDIDATE
2709,8156120,K00318.01,Kepler-522 b,CANDIDATE
2710,8684730,K00319.01,,CANDIDATE
2711,3246867,K06315.01,,CANDIDATE
2712,8700558,K00320.01,,FALSE POSITIVE
2713,8753657,K00321.01,Kepler-406 b,CANDIDATE
2714,8554498,K00005.01,,CANDIDATE
2715,3847708,K00389.01,,FALSE POSITIVE
2716,3849155,K00390.01,,FALSE POSITIVE
2717,3858804,K00391.01,,FALSE POSITIVE
2718,3942670,K00392.01,Kepler-147 c,CANDIDATE
2719,3942670,K00392.02,Kepler-147 b,CANDIDATE
2720,6949898,K03031.01,,CANDIDATE
2721,10585738,K03032.01,Kepler-1415 b,CANDIDATE
2722,7186665,K03033.01,,FALSE POSITIVE
2723,2973386,K03034.01,,CANDIDATE
2724,6388770,K03035.01,,FALSE POSITIVE
2725,7022573,K03112.01,,CANDIDATE
2726,7676423,K03113.01,Kepler-1430 b,CANDIDATE
2727,9288237,K03114.01,,CANDIDATE
2728,11714231,K03115.01,Kepler-1431 b,CANDIDATE
2729,11720424,K03116.01,Kepler-1432 b,CANDIDATE
2730,7837302,K00048.01,,FALSE POSITIVE
2731,8753657,K00321.02,Kepler-406 c,CANDIDATE
2732,8948424,K00322.01,,FALSE POSITIVE
2733,9139084,K00323.01,Kepler-523 b,CANDIDATE
2734,9641041,K00324.01,,FALSE POSITIVE
2735,9724984,K00325.01,,FALSE POSITIVE
2736,2452450,K00380.01,,FALSE POSITIVE
2737,3230578,K00381.01,,FALSE POSITIVE
2738,3231137,K00382.01,,FALSE POSITIVE
2739,3353050,K00384.01,Kepler-541 b,CANDIDATE
2740,3446746,K00385.01,Kepler-542 b,CANDIDATE
2741,5695396,K00283.01,Kepler-131 b,CANDIDATE
2742,5217891,K03036.01,,FALSE POSITIVE
2743,6593150,K03037.01,,CANDIDATE
2744,8051946,K03038.01,Kepler-1416 b,CANDIDATE
2745,5445681,K03039.01,Kepler-1417 b,CANDIDATE
2746,6523351,K03117.01,,CANDIDATE
2747,5551672,K03119.01,,CANDIDATE
2748,3323289,K06319.01,,FALSE POSITIVE
2749,11499192,K03120.01,Kepler-1433 b,CANDIDATE
2750,12416661,K03122.01,Kepler-1434 b,CANDIDATE
2751,8197793,K03123.01,,CANDIDATE
2752,8258171,K00286.01,,FALSE POSITIVE
2753,9880467,K00326.01,,CANDIDATE
2754,9880467,K00326.02,,CANDIDATE
2755,9881662,K00327.01,Kepler-140 b,CANDIDATE
2756,9881662,K00327.02,Kepler-140 c,CANDIDATE
2757,9895004,K00328.01,,FALSE POSITIVE
2758,3656121,K00386.01,Kepler-146 b,CANDIDATE
2759,10620329,K00066.01,,FALSE POSITIVE
2760,3656121,K00386.02,Kepler-146 c,CANDIDATE
2761,3733628,K00387.01,Kepler-543 b,CANDIDATE
2762,3831053,K00388.01,,CANDIDATE
2763,6357290,K03040.01,,CANDIDATE
2764,4072955,K03041.01,,CANDIDATE
2765,8695311,K03042.01,,CANDIDATE
2766,9834731,K03043.01,,CANDIDATE
2767,5092266,K03045.01,,CANDIDATE
2768,8751796,K03125.01,Kepler-1435 b,CANDIDATE
2769,7097534,K03126.01,,FALSE POSITIVE
2770,9907129,K03127.01,Kepler-1436 b,CANDIDATE
2771,7609674,K03128.01,,CANDIDATE
2772,9527334,K00049.01,Kepler-461 b,CANDIDATE
2773,10031885,K00329.01,,FALSE POSITIVE
2774,11361646,K00330.01,Kepler-524 b,CANDIDATE
2775,11361646,K00330.02,Kepler-524 c,CANDIDATE
2776,10285631,K00331.01,Kepler-525 b,CANDIDATE
2777,3964109,K00393.01,Kepler-544 b,CANDIDATE
2778,4159347,K00394.01,,FALSE POSITIVE
2779,3544595,K00069.01,Kepler-93 b,CANDIDATE
2780,4165960,K00395.01,,FALSE POSITIVE
2781,4252322,K00396.01,,CANDIDATE
2782,4376644,K00397.01,,FALSE POSITIVE
2783,9301506,K03047.01,,FALSE POSITIVE
2784,5695396,K00283.02,Kepler-131 c,CANDIDATE
2785,9714550,K03048.01,,CANDIDATE
2786,6263593,K03049.01,Kepler-1418 b,CANDIDATE
2787,5475042,K03050.01,,CANDIDATE
2788,6964159,K03129.01,,FALSE POSITIVE
2789,10252275,K03130.01,,CANDIDATE
2790,10252275,K03130.02,,CANDIDATE
2791,11455181,K03131.01,Kepler-1437 b,CANDIDATE
2792,9541295,K03132.01,,FALSE POSITIVE
2793,10290666,K00332.01,Kepler-526 b,CANDIDATE
2794,10337258,K00333.01,Kepler-527 b,CANDIDATE
2795,10470206,K00335.01,,FALSE POSITIVE
2796,10518725,K00336.01,,FALSE POSITIVE
2797,12314973,K00279.02,Kepler-450 c,CANDIDATE
2798,5450893,K02970.01,,CANDIDATE
2799,4770174,K02971.01,,CANDIDATE
2800,8949925,K02972.01,,CANDIDATE
2801,9959492,K03051.01,,CANDIDATE
2802,8827575,K03052.01,,CANDIDATE
2803,8827575,K03052.02,,CANDIDATE
2804,2716801,K03053.01,Kepler-1419 b,CANDIDATE
2805,7281454,K03055.01,,FALSE POSITIVE
2806,7216284,K03056.01,Kepler-1420 b,CANDIDATE
2807,8703887,K00287.01,,FALSE POSITIVE
2808,9899352,K03135.01,,FALSE POSITIVE
2809,6945786,K03136.01,,CANDIDATE
2810,5978170,K03140.01,,CANDIDATE
2811,5440317,K03141.01,Kepler-1438 b,CANDIDATE
2812,10545066,K00337.01,Kepler-528 b,CANDIDATE
2813,6056992,K00051.01,,FALSE POSITIVE
2814,10552611,K00338.01,Kepler-141 c,CANDIDATE
2815,10552611,K00338.02,Kepler-141 b,CANDIDATE
2816,10587105,K00339.01,Kepler-529 b,CANDIDATE
2817,10587105,K00339.02,Kepler-529 c,CANDIDATE
2818,6948480,K02975.01,,FALSE POSITIVE
2819,6438099,K02976.01,,CANDIDATE
2820,11090556,K02977.01,Kepler-1398 b,CANDIDATE
2821,11090556,K02977.02,Kepler-1398 c,CANDIDATE
2822,10686814,K02978.01,,FALSE POSITIVE
2823,3234843,K03057.01,Kepler-405 c,CANDIDATE
2824,6021275,K00284.01,Kepler-132 d,CANDIDATE
2825,3234843,K03057.02,Kepler-405 b,CANDIDATE
2826,8192911,K03058.01,,FALSE POSITIVE
2827,10554967,K03059.01,,FALSE POSITIVE
2828,3752110,K03142.01,,CANDIDATE
2829,5688790,K03144.01,Kepler-1439 b,CANDIDATE
2830,1717722,K03145.01,,CANDIDATE
2831,1717722,K03145.02,,CANDIDATE
2832,10908248,K03146.01,Kepler-1440 b,CANDIDATE
2833,10616571,K00340.01,,FALSE POSITIVE
2834,10878263,K00341.01,Kepler-414 c,CANDIDATE
2835,10878263,K00341.02,Kepler-414 b,CANDIDATE
2836,10982872,K00343.01,Kepler-142 c,CANDIDATE
2837,10982872,K00343.02,Kepler-142 b,CANDIDATE
2838,2720514,K02979.01,,FALSE POSITIVE
2839,4141376,K00280.01,,CANDIDATE
2840,9468551,K02980.01,Kepler-1399 b,CANDIDATE
2841,9076971,K02981.01,Kepler-1400 b,FALSE POSITIVE
2842,8360640,K02982.01,,CANDIDATE
2843,11019987,K03060.01,Kepler-1421 b,CANDIDATE
2844,4857058,K03061.01,,CANDIDATE
2845,10924562,K03063.01,Kepler-1422 b,CANDIDATE
2846,9899505,K03064.01,,FALSE POSITIVE
2847,5040077,K03065.01,,CANDIDATE
2848,7534267,K03147.01,Kepler-1441 b,CANDIDATE
2849,9592705,K00288.01,,CANDIDATE
2850,10611420,K03148.01,,FALSE POSITIVE
2851,10386922,K00289.01,,CANDIDATE
2852,10386922,K00289.02,Kepler-511 b,CANDIDATE
2853,10982872,K00343.03,Kepler-142 d,CANDIDATE
2854,3558981,K00052.01,,FALSE POSITIVE
2855,11015108,K00344.01,Kepler-530 b,CANDIDATE
2856,11074541,K00345.01,Kepler-531 b,CANDIDATE
2857,11100383,K00346.01,Kepler-532 b,CANDIDATE
2858,7918652,K02984.01,,CANDIDATE
2859,8847111,K02985.01,,FALSE POSITIVE
2860,4568298,K02986.01,,FALSE POSITIVE
2861,9230021,K03429.04,,CANDIDATE
2862,4374339,K02987.01,,FALSE POSITIVE
2863,6636320,K02989.01,,CANDIDATE
2864,4067925,K03066.01,,CANDIDATE
2865,4847782,K03067.01,,FALSE POSITIVE
